Date,Day
01/06/2021,457
02/06/2021,458
03/06/2021,459
04/06/2021,460
05/06/2021,461
06/06/2021,462
07/06/2021,463
08/06/2021,464
09/06/2021,465
10/06/2021,466
11/06/2021,467
12/06/2021,468
13/06/2021,469
14/06/2021,470
15/06/2021,471
16/06/2021,472
17/06/2021,473
18/06/2021,474
19/06/2021,475
20/06/2021,476
21/06/2021,477
22/06/2021,478
23/06/2021,479
24/06/2021,480
25/06/2021,481
26/06/2021,482
27/06/2021,483
28/06/2021,484
29/06/2021,485
30/06/2021,486
01/07/2021,487
02/07/2021,488
03/07/2021,489
04/07/2021,490
05/07/2021,491
06/07/2021,492
07/07/2021,493
08/07/2021,494
09/07/2021,495
10/07/2021,496
11/07/2021,497
12/07/2021,498
13/07/2021,499
14/07/2021,500
15/07/2021,501
16/07/2021,502
17/07/2021,503
18/07/2021,504
19/07/2021,505
20/07/2021,506
21/07/2021,507
22/07/2021,508
23/07/2021,509
24/07/2021,510
25/07/2021,511
26/07/2021,512
27/07/2021,513
28/07/2021,514
29/07/2021,515
30/07/2021,516
31/07/2021,517
01/08/2021,518
02/08/2021,519
03/08/2021,520
04/08/2021,521
05/08/2021,522
06/08/2021,523
07/08/2021,524
08/08/2021,525
09/08/2021,526
10/08/2021,527
11/08/2021,528
12/08/2021,529
13/08/2021,530
14/08/2021,531
15/08/2021,532
16/08/2021,533
17/08/2021,534
18/08/2021,535
19/08/2021,536
20/08/2021,537
21/08/2021,538
22/08/2021,539
23/08/2021,540
24/08/2021,541
25/08/2021,542
26/08/2021,543
27/08/2021,544
28/08/2021,545
29/08/2021,546
30/08/2021,547
31/08/2021,548
01/09/2021,549
02/09/2021,550
03/09/2021,551
04/09/2021,552
05/09/2021,553
06/09/2021,554
07/09/2021,555
08/09/2021,556
09/09/2021,557
10/09/2021,558
11/09/2021,559
12/09/2021,560
13/09/2021,561
14/09/2021,562
15/09/2021,563
16/09/2021,564
17/09/2021,565
18/09/2021,566
19/09/2021,567
20/09/2021,568
21/09/2021,569
22/09/2021,570
23/09/2021,571
24/09/2021,572
25/09/2021,573
26/09/2021,574
27/09/2021,575
28/09/2021,576
29/09/2021,577
30/09/2021,578
01/10/2021,579
02/10/2021,580
03/10/2021,581
04/10/2021,582
05/10/2021,583
06/10/2021,584
07/10/2021,585
08/10/2021,586
09/10/2021,587
10/10/2021,588
11/10/2021,589
12/10/2021,590
13/10/2021,591
14/10/2021,592
15/10/2021,593
16/10/2021,594
17/10/2021,595
18/10/2021,596
19/10/2021,597
20/10/2021,598
21/10/2021,599
22/10/2021,600
23/10/2021,601
24/10/2021,602
25/10/2021,603
26/10/2021,604
27/10/2021,605
28/10/2021,606
29/10/2021,607
30/10/2021,608
31/10/2021,609
01/11/2021,610
02/11/2021,611
03/11/2021,612
04/11/2021,613
05/11/2021,614
06/11/2021,615
07/11/2021,616
08/11/2021,617
09/11/2021,618
10/11/2021,619
11/11/2021,620
12/11/2021,621
13/11/2021,622
14/11/2021,623
15/11/2021,624
16/11/2021,625
17/11/2021,626
18/11/2021,627
19/11/2021,628
20/11/2021,629
21/11/2021,630
22/11/2021,631
23/11/2021,632
24/11/2021,633
25/11/2021,634
26/11/2021,635
27/11/2021,636
28/11/2021,637
29/11/2021,638
30/11/2021,639
01/12/2021,640
02/12/2021,641
03/12/2021,642
04/12/2021,643
05/12/2021,644
06/12/2021,645
07/12/2021,646
08/12/2021,647
09/12/2021,648
10/12/2021,649
11/12/2021,650
12/12/2021,651
13/12/2021,652
14/12/2021,653
15/12/2021,654
16/12/2021,655
17/12/2021,656
18/12/2021,657
19/12/2021,658
20/12/2021,659
21/12/2021,660
22/12/2021,661
23/12/2021,662
24/12/2021,663
25/12/2021,664
26/12/2021,665
27/12/2021,666
28/12/2021,667
29/12/2021,668
30/12/2021,669
31/12/2021,670
